word_id,example_phrase_english,example_phrase_polish,example_sentence_english,explanation
667,The groom waited nervously at the altar.,Pan młody czekał nerwowo przy ołtarzu.,He hired a groom to take care of his horse.,"Noun: a man on his wedding day. Verb: to clean, brush, and care for an animal's coat, or to clean and prepare oneself or another person. Can also refer to a stable worker who takes care of horses."
668,The traffic was heavy during rush hour.,Ruch uliczny był duży w godzinach szczytu.,She sat in traffic for hours on her way to work.,"The movement of vehicles, pedestrians, or other objects on a public road or area. Can also refer to the volume of activity or transactions on a website or other platform."
669,She recorded the concert on a tape.,Nagrała koncert na kasecie.,He used duct tape to fix the leaky pipe.,Noun: a narrow strip of material used for recording or attaching things. Verb: to record or attach something using tape.
670,The hotel provided accommodation for the guests.,Hotel zapewnił zakwaterowanie dla gości.,She had trouble finding affordable accommodation in the city.,"A place to stay, often provided for travelers or tourists. Can also refer to an adjustment or adaptation made to meet someone's needs or preferences."
671,The plane's takeoff was delayed due to bad weather.,Start samolotu został opóźniony z powodu złej pogody.,The company's new product was a huge takeoff in the market.,The moment when an aircraft begins to leave the ground and take flight. Can also refer to a sudden rise or success in a career or project.
672,She took a leap of faith and quit her job.,Zaryzykowała i rzuciła pracę.,He made a running leap over the puddle to avoid getting his shoes wet.,A sudden jump or bound. Can also refer to a great or sudden change or increase. Verb: to jump or move suddenly or quickly.
673,The park is dedicated to the conservation of wildlife.,Park jest poświęcony ochronie dzikiej przyrody.,She studied conservation biology in college.,"The protection, preservation, and management of natural resources and the environment. Can also refer to the careful use and management of resources or assets."
674,Her nephew visited her during the summer.,Jej siostrzeniec odwiedził ją podczas wakacji.,He took his nephew to the amusement park for his birthday.,A son of one's brother or sister.
675,She stored her dishes in the cupboard.,Przechowywała swoje naczynia w kredensie.,He installed new shelves in the kitchen cupboard to create more storage space.,"A piece of furniture with shelves or drawers used for storing or displaying items, typically in a kitchen or pantry."
676,They rented a cottage by the lake for the weekend.,Wynajęli domek nad jeziorem na weekend.,She dreamed of retiring to a cozy cottage in the countryside.,"A small, cozy house, typically in a rural or remote area."
677,The noticeboard was covered in flyers and announcements.,Tablica ogłoszeń była pokryta ulotkami i ogłoszeniami.,He posted his resume on the noticeboard in hopes of finding a job.,"A board or surface used for displaying announcements, notices, or other information."
678,She used an eraser to fix the mistake.,"Użyła gumki do mazania, aby poprawić błąd.",He accidentally smudged the drawing and had to erase the mistake with an eraser.,A tool used for removing pencil or other marks from paper or other surfaces.
679,She wrote her name on the chalkboard.,Napisała swoje imię na tablicy kredą.,He used chalk to mark the tires of his car to make sure they were properly aligned.,"A soft, white, porous limestone used for drawing or writing on a blackboard or other surface."
680,She washed the dishes in the sink.,Zmywała naczynia w zlewie.,"He accidentally dropped the cup and it fell into the sink, shattering into pieces.","Noun: a plumbing fixture used for washing hands, dishes, or other items. Verb: to submerge or descend below the surface of water or other liquid. Can also refer to a decrease or decline in value or importance."
